,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10
0.0965,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,18.71897963,-1.68918367,39.12714283,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-0.98081632,19.01918368,19.42734698,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,37.87897958,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,38.76571426,-2.05061224,-2.05061224,17.94938776,-2.05061224,37.94938776,18.35755106,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0975,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,19.42734698,19.42734698,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021
0.0985,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,38.69530608,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,17.94938776,18.35755106,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,19.53448979,-0.46551021
0.0995,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,39.12714283,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021
0.1005,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,18.31081633,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,37.87897958,18.28714288,17.87897958,-2.12102042,-2.05061224,18.35755106,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1015,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,18.28714288,18.28714288,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021
0.1025,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,18.28714288,-2.12102042,17.87897958,-2.12102042,17.87897958,-2.12102042,-2.12102042,18.28714288,-2.05061224,-2.05061224,-2.05061224,38.76571426,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1035,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,17.94938776,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309
0.1045,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,17.94938776,18.35755106,-2.05061224,-2.05061224,-0.46551021,40.35081629,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1055,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.12102042,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,17.94938776,18.35755106,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1065,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,38.31081633,-1.68918367,-1.68918367,-1.68918367,18.71897963,-0.98081632,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1075,-1.68918367,18.71897963,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,18.35755106,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1085,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1095,-1.68918367,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,18.28714288,-2.12102042,-2.12102042,17.87897958,37.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1105,-1.68918367,-1.68918367,18.71897963,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,18.35755106,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1115,-1.68918367,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,18.35755106,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1125,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,18.28714288,18.28714288,-2.12102042,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,18.35755106,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1135,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021
0.1145,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,18.35755106,-2.05061224,18.35755106,-0.46551021,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1155,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,18.71897963,-1.68918367,-1.68918367,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1165,-1.68918367,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1175,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,19.01918368,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,18.35755106,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1185,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,18.28714288,18.28714288,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1195,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.05061224,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1205,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,18.31081633,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,18.35755106,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1215,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,18.71897963,-0.98081632,-0.98081632,-0.98081632,19.42734698,19.01918368,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,18.28714288,59.10346938,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1225,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309
0.1235,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,18.71897963,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,38.69530608,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,37.94938776,37.94938776,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1245,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,18.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.42734698,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309
0.1255,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309,19.53448979,-0.46551021
0.1265,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,18.35755106,17.94938776,18.35755106,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1275,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,18.35755106,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1285,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,19.94265309,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1295,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1305,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.05061224,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1315,-1.68918367,-1.68918367,-1.68918367,18.71897963,-1.68918367,18.31081633,-1.68918367,18.71897963,-1.68918367,39.12714283,-0.98081632,-0.98081632,-0.98081632,19.42734698,-0.98081632,19.01918368,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1325,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.1335,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,39.12714283,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
