,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10
0.1345,15.18815984,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.1355,-4.41968326,-4.41968326,-4.41968326,14.81108594,-4.41968326,14.81108594,15.18815984,-4.41968326,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.1365,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.1375,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,14.81108594,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.62726242,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.1385,15.18815984,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,18.18966814,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,18.62726242,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.08465307,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.1395,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,15.18815984,-4.41968326,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.56674204,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.1405,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.08465307,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.1415,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,15.18815984,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.1425,15.18815984,-4.41968326,-4.41968326,-4.41968326,15.18815984,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.1435,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,18.20776769,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.1445,-4.41968326,-4.41968326,15.18815984,-4.41968326,-4.41968326,-4.41968326,15.18815984,-4.41968326,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.1455,34.79600304,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.1465,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.1475,15.18815984,-4.41968326,-4.41968326,14.81108594,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.62726242,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.1485,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,15.18815984,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.1495,15.18815984,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,15.18815984,-4.41968326,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
